userName,score,at,content
Pengguna Google,3,2025-03-21 18:10:11,ongkir udh mahal ke aceh
Pengguna Google,1,2025-03-21 17:58:33,"Fake application, this application provide seller to cheat an costumer or buyer"
Pengguna Google,1,2025-03-21 17:54:03,driver kurir instant lama pick barangnya
Pengguna Google,5,2025-03-21 17:36:58,toko pedia selalu membantu dalam belanja online jadi saya sangat suka Tokopedia mantap okkkkeeeeeee
Pengguna Google,5,2025-03-21 17:30:04,bismillah coba download 😁
Pengguna Google,1,2025-03-21 17:30:00,"Saya membeli kartu nmr cantik di toko Selenahourse, pihak seller menipu dengan memberikan nomor tidak aktif. Lalu seller beralasan harus konfirmasi terima dan kasih rating terlebih dahulu, lalu nanti nomornya akan diaktifkan dalam seminggu. Namun setelah seminggu nomor tidak juga aktif, dichat tidak ad respon. Ternyata sudah banyak korban penipuan yang dilakukan. Harap admin Tokopedia melacaknya dan melaporkannya."
Pengguna Google,1,2025-03-21 17:22:21,"estimasi tiba hari ini,dikomplain malah lusa bisanya komplain,setelah menunggu lusa harus nunggu 2x24 jam lagi kabar dari expedisi..setelah menunggu kabar dari expedisi harus nunggu 2x24 jam lagi nunggu persetujuan dari penjual...gimana sih maunya aplikasi ini,pengiriman gak ada yang benerrrr kaya babrrrr anjrrrr👎"
Pengguna Google,2,2025-03-21 17:20:35,"kasih dua bintang dulu, kalau memuaskan saya tambah 3 jdi 5"
Pengguna Google,1,2025-03-21 16:48:46,"saya beli paket pakai pengiriman instan, kok di masukin samday. saya bayar mahal loh buat pengiriman instan"
Pengguna Google,1,2025-03-21 16:43:42,SUSAH KALI SI BELI LIQUID VAPE DISINI BANYAK ATURAN DI WEB GK BISA DI BUKA DI APK GK ADA GK JELASSS!!
Pengguna Google,2,2025-03-21 15:57:48,"Rajin update makin ga enak aplinya, ga ada tanda hijau seller aktif & tanda transaksi, please STOP gaya "" an."
Pengguna Google,1,2025-03-21 15:53:55,gaada voucher sama sekali
Pengguna Google,5,2025-03-21 15:50:17,sangat puas belanja kerena barang y bagus2 dan gak bikin kecewa semoga sukses terus Tokopedia☺️
